,uf,modalidade,R$
341,PE,PDI - Pos-doutorado Empresarial,61500.0
342,PE,PDJ - Pós-doutorado Júnior,837000.0
343,PE,PDS - Pós-doutorado Sênior,211800.0
344,PE,PQ - Produtividade em Pesquisa,8824120.0
345,PE,SET - Fixação de Recursos Humanos,287900.0
346,PE,SWP - Doutorado-Sanduiche no Pais,11000.0
347,PI,ADC - Apoio à Difusão do Conhecimento,4830.0
348,PI,AED - Auxílio a Editoração e Publicação,64000.0
349,PI,APQ - Auxílio a Pesquisa,1365163.05
350,PI,AT - Apoio Técnico a Pesquisa,26250.0
351,PI,ATP - Apoio Técnico em Extensão no País ,7200.0
352,PI,DCR - Desenvolvimento Cientifico Regional,433150.0
353,PI,DT - Produtividade Desen. Tec. e Extensão ,46200.0
354,PI,DTI - Desenvolvimento Tecnológico Industrial,21200.0
355,PI,EV - Especialista Visitante,38500.0
356,PI,GD - Doutorado,267182.0
357,PI,GM - Mestrado,234000.0
358,PI,IC - Iniciação Científica,1484000.0
359,PI,ICJ - Iniciação Científica Júnior,76400.0
360,PI,IEX - Iniciação ao Extensionismo,360.0
361,PI,IT - Iniciação Tecnológica,128800.0
362,PI,ITC - Iniciação Tecnológica em TICs,19500.0
363,PI,ITI - Iniciação Tecnológica e Industrial,32800.0
364,PI,PDJ - Pós-doutorado Júnior,36000.0
365,PI,PDS - Pós-doutorado Sênior,120000.0
366,PI,PQ - Produtividade em Pesquisa,1106780.0
367,PI,SET - Fixação de Recursos Humanos,269000.0
368,PR,AED - Auxílio a Editoração e Publicação,166750.0
369,PR,APQ - Auxílio a Pesquisa,35296740.01
370,PR,ARC - Promoção de Eventos Científicos,705000.0
371,PR,AT - Apoio Técnico a Pesquisa,210250.0
372,PR,ATP - Apoio Técnico em Extensão no País ,94000.0
373,PR,DT - Produtividade Desen. Tec. e Extensão ,1140680.0
374,PR,DTI - Desenvolvimento Tecnológico Industrial,1206000.0
375,PR,EV - Especialista Visitante,200000.0
376,PR,EXP - Extensão no País,116100.0
377,PR,GD - Doutorado,8605804.76
378,PR,GM - Mestrado,2970000.0
379,PR,IC - Iniciação Científica,7652800.0
380,PR,ICJ - Iniciação Científica Júnior,388900.0
381,PR,IEX - Iniciação ao Extensionismo,1440.0
382,PR,IT - Iniciação Tecnológica,1726800.0
383,PR,ITI - Iniciação Tecnológica e Industrial,200000.0
384,PR,PDI - Pos-doutorado Empresarial,57400.0
385,PR,PDJ - Pós-doutorado Júnior,2034000.0
386,PR,PDS - Pós-doutorado Sênior,52800.0
387,PR,PQ - Produtividade em Pesquisa,15459820.0
388,PR,PV - Pesquisador Visitante,36400.0
389,PR,SET - Fixação de Recursos Humanos,1141300.0
390,PR,SWP - Doutorado-Sanduiche no Pais,15400.0
391,RJ,ADC - Apoio à Difusão do Conhecimento,498388.0
392,RJ,AED - Auxílio a Editoração e Publicação,411950.0
393,RJ,APQ - Auxílio a Pesquisa,69217720.32
394,RJ,ARC - Promoção de Eventos Científicos,1288500.0
395,RJ,AT - Apoio Técnico a Pesquisa,304800.0
396,RJ,ATP - Apoio Técnico em Extensão no País ,154100.0
397,RJ,DT - Produtividade Desen. Tec. e Extensão ,734080.0
398,RJ,DTI - Desenvolvimento Tecnológico Industrial,5698480.0
399,RJ,EV - Especialista Visitante,272000.0
400,RJ,EXP - Extensão no País,869240.0
401,RJ,GD - Doutorado,32011898.51
402,RJ,GM - Mestrado,9610500.0
403,RJ,IC - Iniciação Científica,18342400.0
404,RJ,ICJ - Iniciação Científica Júnior,6383900.0
405,RJ,IEX - Iniciação ao Extensionismo,720.0
406,RJ,IT - Iniciação Tecnológica,1783200.0
407,RJ,ITC - Iniciação Tecnológica em TICs,10000.0
408,RJ,ITI - Iniciação Tecnológica e Industrial,501200.0
409,RJ,PAV - Bolsa Pesquisador-Avaliador,34000.0
410,RJ,PCI - Programa de Capacitação Institucional,9397444.0
411,RJ,PDI - Pos-doutorado Empresarial,73800.0
412,RJ,PDJ - Pós-doutorado Júnior,4238702.25
413,RJ,PDS - Pós-doutorado Sênior,740150.0
414,RJ,PQ - Produtividade em Pesquisa,42680424.72
415,RJ,PV - Pesquisador Visitante,150800.0
416,RJ,SET - Fixação de Recursos Humanos,688400.0
417,RJ,SWP - Doutorado-Sanduiche no Pais,31600.0
418,RN,ADC - Apoio à Difusão do Conhecimento,31421.5
419,RN,AED - Auxílio a Editoração e Publicação,25000.0
420,RN,APQ - Auxílio a Pesquisa,6693197.03
421,RN,ARC - Promoção de Eventos Científicos,237000.0
422,RN,AT - Apoio Técnico a Pesquisa,51650.0
423,RN,ATP - Apoio Técnico em Extensão no País ,52950.0
